record_no,reason_claimed,archived_file,archived_path_now,archived_size,archived_sha256,claimed_canonical_file,canonical_path_resolved,canonical_size,canonical_sha256,size_delta,hash_match,content_test,disposition,risk_note,duplicate_copies_in_project
77,older_version,ORION__SPACE_CUSTOM_INSTRUCTIONS__v3.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_Operational_Library_v2_0/ORION__SPACE_CUSTOM_INSTRUCTIONS__v3.0.md,1623,e908ec70e002cbacb9918367649e8175e7b040d9a3c3c9a0143c10f49ba10f48,ORION__SPACE_CUSTOM_INSTRUCTIONS__v3.1.md,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/ORION__SPACE_CUSTOM_INSTRUCTIONS__v3.1.md,3365,6ea6ea6adda06dd3303b53f9ac532e24134fb58f8c342bd00b8b032f21b2e2e0,-1742,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
78,older_version,ORION__TEMPLATES__v1.2.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_Operational_Library_v2_0/ORION__TEMPLATES__v1.2.md,1704,7ba7144fe498c452b54274183d77d854aaf755b2db554afb3b93bab9525343ca,ORION__TEMPLATES__v1.3.md,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/ORION__TEMPLATES__v1.3.md,2857,0a19cb9b369ff22f267795b9733a33d1bf55a994d2ce0d94f15d7dd2d4b855a3,-1153,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
79,older_version,README__ORION_SPACE_READY_LIBRARY__v2.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_Operational_Library_v2_0/README__ORION_SPACE_READY_LIBRARY__v2.0.md,992,7e571fa1aca94492929ae47ac0fb3fa0f2197720322bf9e55d7cc7cf8074fd4d,README__ORION_SPACE_READY_LIBRARY__v2.2.md,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/README__ORION_SPACE_READY_LIBRARY__v2.2.md,1411,7790a3db4417a322bfd099cb6170cda1e54d7d206679c1fc58be009d2b4d6d67,-419,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
80,older_version,STAGING_MANIFEST__v2.0.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_Operational_Library_v2_0/STAGING_MANIFEST__v2.0.json,7494,237fcb13f2000202cd306e25a08e75f7573e007dd36436a3badd68ece12f621b,STAGING_MANIFEST__v2.2.json,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/STAGING_MANIFEST__v2.2.json,9054,7641569a047d17e71aebcdf8ca87beb1ef14d86eca8dea1144857eb597084566,-1560,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
81,older_version,L2_GUMAS_ENGINE__API_REFERENCE__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/L2_GUMAS_ENGINE__API_REFERENCE__v1.0.md,4933,fb8a17d6eb976d3c37a867186051d74ced0fbf4a4cc962e1c182ca00401fc39a,L2_GUMAS_ENGINE__API_REFERENCE__v1.1__NAMING_INTEGRATED__2026-02-09.md,02_DEVELOPMENT/Engine/Integration_Latest_v1.3/Engine Room/L2_GUMAS_ENGINE__API_REFERENCE__v1.1__NAMING_INTEGRATED__2026-02-09.md,7129,73c437fe30966678d39118e4f097690f1c9014549c23d77b2477f47b3c45c2a1,-2196,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,6
82,older_version,ORION__CANON_POLICY__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__CANON_POLICY__v1.0.md,827,4ebf731e65c08f04e86677dbb53805aae5426579bf7fee0da82dd41c2464049b,ORION__CANON_POLICY__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__CANON_POLICY__v1.1.md,887,b63b3d4dfd220e90c33c6f675c1ffbc05fa08da205fe60e3d1c9ea0c4a24d522,-60,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
83,older_version,ORION__CATEGORY_INDICES__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__CATEGORY_INDICES__v1.0.md,2086,7a6696c677505f3b8d6af044ff2de3b065f2b2b415b4d37b0cb0699521afdbe8,ORION__CATEGORY_INDICES__v2.2.md,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/ORION__CATEGORY_INDICES__v2.2.md,2681,645f9c30f85b98ef3997bca58b6a0a6105a236db13cfeed5d6a1bba13c9d6410,-595,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
84,older_version,ORION__CLASSIFICATION_SYSTEM__AD__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__CLASSIFICATION_SYSTEM__AD__v1.0.md,761,9fbb41f0fd6e93a27cf39ca4c01825e0e9e644020413aeb08280dd38ef916b55,ORION__CLASSIFICATION_SYSTEM__AD__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__CLASSIFICATION_SYSTEM__AD__v1.1.md,786,a4131605b35cfdf081ae6ed64b6dd1ebe738618bc7e78faeac42f9afb72b58c4,-25,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
85,older_version,ORION__DRIFT_CONTAINMENT_PROTOCOL__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__DRIFT_CONTAINMENT_PROTOCOL__v1.0.md,762,2c2521b665b3eda43c939cab1cbb77804d31a5ac403e4bf014db7122272b5d3b,ORION__DRIFT_CONTAINMENT_PROTOCOL__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__DRIFT_CONTAINMENT_PROTOCOL__v1.1.md,830,35740dcdc1d188a4b7626bb394acebfc9b5e3c982aba1b21e464c3ce074998ac,-68,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,2
86,older_version,ORION__L1_COMMAND_STRUCTURE__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__L1_COMMAND_STRUCTURE__v1.0.md,664,06f4b1cc1db8c7caecace22cf405c393aaa8f83b063d8415f3d8cf03e7ead6fa,ORION__L1_COMMAND_STRUCTURE__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__L1_COMMAND_STRUCTURE__v1.1.md,618,68bbbed636cfe4902b640aca1defb7143fdc562693c0e95aad2420d2560fa369,46,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
87,older_version,ORION__L1_DISPATCH_PROTOCOL__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__L1_DISPATCH_PROTOCOL__v1.0.md,722,292631173f8f2bbad50571ef1590ff6d6a1a2e567553feed395e1165e6a9c748,ORION__L1_DISPATCH_PROTOCOL__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__L1_DISPATCH_PROTOCOL__v1.1.md,691,1ef3d6076bd9b3cc8797730b7ddd072999a020bac786078f077f3ac6637dbaae,31,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,2
88,older_version,ORION__L1_EMERGENCY_PROTOCOLS__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__L1_EMERGENCY_PROTOCOLS__v1.0.md,645,45074f0b70e1b588cd43c7b0270dda25da8618f738f924ff857c1d9bed757ae3,ORION__L1_EMERGENCY_PROTOCOLS__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__L1_EMERGENCY_PROTOCOLS__v1.1.md,599,c07ee43995f2dc411820aafbb6d9877d14c9e585f9397d763214dea5bf50abea,46,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,2
89,older_version,ORION__L1_OPERATIONS_RUNBOOK__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__L1_OPERATIONS_RUNBOOK__v1.0.md,751,ee08381668e72faf3f70692c3ab8c151bf96e70c6d01e75054a4ff1e33a0d340,ORION__L1_OPERATIONS_RUNBOOK__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__L1_OPERATIONS_RUNBOOK__v1.1.md,710,2eb995b5476dff502f29f029d6eb806cefd48b6fa5d5c17765b9dd3b26ef80d5,41,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,2
90,older_version,ORION__L1_STATION_OVERVIEW__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__L1_STATION_OVERVIEW__v1.0.md,898,5e6e6b4850dd304f5f273804d0d41e9d2165a60e314586f752592584547875f8,ORION__L1_STATION_OVERVIEW__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__L1_STATION_OVERVIEW__v1.1.md,943,e7450bafc5a4fc68b8a484f3e9e09d0c47023c6e91501123fe27dfa917c105a6,-45,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
91,older_version,ORION__L1_SYSTEMS_BIBLE__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__L1_SYSTEMS_BIBLE__v1.0.md,787,4321db5855d47248e6b2666b877a887a5957c01df5231c18dec01029b90ae7dc,ORION__L1_SYSTEMS_BIBLE__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__L1_SYSTEMS_BIBLE__v1.1.md,741,b5045301b0515fb1ba28cd894ce067bb985be75b2cf68b3b66da14216f35a3f2,46,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
92,older_version,ORION__PICARD_DELTA_3__ETHICS_LAYER__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__PICARD_DELTA_3__ETHICS_LAYER__v1.0.md,822,49cea414126001fedd8cfe550cdc00e63f540770f25e8c5002a9e578ac12254a,ORION__PICARD_DELTA_3__ETHICS_LAYER__v1.1.md,01_OPERATIONS/ORION_Operational_Library_v2_0/LATEST/ORION__PICARD_DELTA_3__ETHICS_LAYER__v1.1.md,870,24eaca5eba8baf151e6a153cfb39732e2d13c70f01bbdb6ddc774da219112f4e,-48,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
93,older_version,ORION__SPACE_CUSTOM_INSTRUCTIONS__v2.1.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__SPACE_CUSTOM_INSTRUCTIONS__v2.1.md,1562,eb474777f927e9e26985b1d52b9afeba0d1d9f9198163ecce44922be026f91e2,ORION__SPACE_CUSTOM_INSTRUCTIONS__v3.1.md,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/ORION__SPACE_CUSTOM_INSTRUCTIONS__v3.1.md,3365,6ea6ea6adda06dd3303b53f9ac532e24134fb58f8c342bd00b8b032f21b2e2e0,-1803,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
94,older_version,ORION__TEMPLATES__v1.0.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/ORION__TEMPLATES__v1.0.md,1509,2b6093cd08830f1837578b33de572cffd56b7ffe0ba52ffc7b6c5d90bf249e7d,ORION__TEMPLATES__v1.3.md,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/ORION__TEMPLATES__v1.3.md,2857,0a19cb9b369ff22f267795b9733a33d1bf55a994d2ce0d94f15d7dd2d4b855a3,-1348,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
95,older_version,STAGING_MANIFEST__v1.0.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_Perplexity_Space_SlimFileSet_v1_0/STAGING_MANIFEST__v1.0.json,6556,83e0cd285d2b53421a17f72adcecac9120af7797d82407422001baffddfe52ed,STAGING_MANIFEST__v2.2.json,04_DOCUMENTATION/ORION_Distribution/ChatGPT_Project_Library/ZIPWIZ.ORION.CHATGPT_PROJECT.PERPLEXITY_LIB.2026-02-08.BAY02_0943__STRUCTURED_ARCHIVE/library/STAGING_MANIFEST__v2.2.json,9054,7641569a047d17e71aebcdf8ca87beb1ef14d86eca8dea1144857eb597084566,-2498,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
96,older_version,L1_L2_L3_PROFILES__AuroraConstellation__v0.1__2026-02-07.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/L1_L2_L3_PROFILES__AuroraConstellation__v0.1__2026-02-07.md,32039,8fd58b9fdc883b90ddee6208993aae55d4f998dcc3589cf77bfffb18dd8b3c25,L1_L2_L3_PROFILES__AuroraConstellation__v0.2__2026-02-07.md,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/L1_L2_L3_PROFILES__AuroraConstellation__v0.2__2026-02-07.md,32602,92073a338b5bebaf8cde9f77d595bf213bdd7770baa912555e0a1f7e5629742c,-563,NO,archived_text_contained_in_canonical,SAFE_TO_DELETE (content preserved in canonical),,0
97,older_version,L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.1__2026-02-07.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.1__2026-02-07.md,23601,24b24288d0ce54aa27adf022999edffc5a7664ad32d64c8eb0c0f5018bc3da37,L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.2__2026-02-07.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.2__2026-02-07.txt,24142,d4326e545c54638e7c9d856805c28faff7907e925f541c03225d51dcf8abb046,-541,NO,archived_text_contained_in_canonical,SAFE_TO_DELETE (content preserved in canonical),,0
98,older_version,L3_GOV__CadenceToneLinterModule__v0.2.0__2026-02-14.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/L3_GOV__CadenceToneLinterModule__v0.2.0__2026-02-14.md,8482,67fb7d1da98395ecd7dbf4fd1b22e68b5003ddb239cd1e94669fbce50ccc7e12,L3_GOV__CadenceToneLinterModule__v0.2.2__2026-02-14.md,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/L3_GOV__CadenceToneLinterModule__v0.2.2__2026-02-14.md,8631,1002477943a6ab9bb1172e0672b739be93259ff176280cfb8465ac88e6bf3f83,-149,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
99,older_version,L3_GOV__CadenceToneLinterModule__v0.2.0__2026-02-14.rules.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/L3_GOV__CadenceToneLinterModule__v0.2.0__2026-02-14.rules.json,3786,7ce8e12c11b33e59e57ccb06ba2d1480242b91cc4ba962cff5195abe271a328b,L3_GOV__CadenceToneLinterModule__v0.2.2__2026-02-14.md,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/L3_GOV__CadenceToneLinterModule__v0.2.2__2026-02-14.md,8631,1002477943a6ab9bb1172e0672b739be93259ff176280cfb8465ac88e6bf3f83,-4845,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
100,older_version,L3_SCHEMA__ORION_DOCUMENT_ENVELOPE__v0.1.0__2026-02-08__BAY02_0814.schema.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/L3_SCHEMA__ORION_DOCUMENT_ENVELOPE__v0.1.0__2026-02-08__BAY02_0814.schema.json,2945,ffea2a33a42a8fb689c7898ed7cdd5df413e500a2cca1dae7acfab69795647ef,L3_SCHEMA__ORION_DOCUMENT_ENVELOPE__v0.2.0__2026-02-08__BAY02_1012.schema.json,05_BUILD_TOOLS/ZipWiz_Packaging/New ZipWiz/ORION_PROPRIETARY_FORMAT_BUNDLE__v0.1.0__2026-02-08__BAY02_1012/library/L3_SCHEMA__ORION_DOCUMENT_ENVELOPE__v0.2.0__2026-02-08__BAY02_1012.schema.json,5675,aa5d50186aa08725803c7afd591855bb7faba3c0efe8c295493340f4190a19af,-2730,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
101,older_version,ORION_BUNDLE__StationWorldbuildingPatterns__v0.1__2026-02-08.zip,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_BUNDLE__StationWorldbuildingPatterns__v0.1__2026-02-08.zip,8279,fcab224f95e955359c2d69b0c8a8209fa4a5c1e30abfc10ec346864640b0b329,ORION_BUNDLE__StationWorldbuildingPatterns__v0.2__2026-02-09__REFRESHED_FORMAT.zip,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/ORION_BUNDLE__StationWorldbuildingPatterns__v0.2__2026-02-09__REFRESHED_FORMAT.zip,13237,ae95aaa2cccc6827c03f4d268a3f753e83301f4b1eebcdaa6ef8d46877bfa005,-4958,NO,ZIP_has_6_entries_ABSENT_from_canonical,DO_NOT_DELETE (content NOT preserved by claimed canonical),ZIP: 6 entries exist nowhere else,0
102,older_version,ORION_CORE__WorkshopAndForgeModule__v1.0.0__2026-02-12__STRUCTURED_ARCHIVE.zip,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_CORE__WorkshopAndForgeModule__v1.0.0__2026-02-12__STRUCTURED_ARCHIVE.zip,27753,15dc4add30ad1e957c9a90977207774a1a737f66d0b85c81d27a0484f2c8ccdc,ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,55348,c00422be67b6c4774106f9f23e1426e5baf6f8466c40ec6194ba5597a3bddc5d,-27595,NO,ZIP_has_14_entries_ABSENT_from_canonical,DO_NOT_DELETE (content NOT preserved by claimed canonical),ZIP: 13 entries exist nowhere else,0
103,older_version,ORION_CORE__WorkshopAndForgeModule__v1.2.0__2026-02-12__STRUCTURED_ARCHIVE.zip,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_CORE__WorkshopAndForgeModule__v1.2.0__2026-02-12__STRUCTURED_ARCHIVE.zip,33425,f796ca07c72ab9ae101b96a36fbe8afefba12540e02943915a1c87f460ad05f8,ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,55348,c00422be67b6c4774106f9f23e1426e5baf6f8466c40ec6194ba5597a3bddc5d,-21923,NO,ZIP_has_11_entries_ABSENT_from_canonical,DO_NOT_DELETE (content NOT preserved by claimed canonical),ZIP: 11 entries exist nowhere else,0
104,older_version,ORION_CORE__WorkshopAndForgeModule__v1.2.1__2026-02-14__STRUCTURED_ARCHIVE (1).zip,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_CORE__WorkshopAndForgeModule__v1.2.1__2026-02-14__STRUCTURED_ARCHIVE (1).zip,50428,6afe930e57959236e9c796a262d67b8ccea2c23bba8b876e9739baef51667182,ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,55348,c00422be67b6c4774106f9f23e1426e5baf6f8466c40ec6194ba5597a3bddc5d,-4920,NO,ZIP_has_10_entries_ABSENT_from_canonical,DO_NOT_DELETE (content NOT preserved by claimed canonical),ZIP: 10 entries exist nowhere else,0
105,older_version,ORION_CORE__WorkshopAndForgeModule__v1.2.1__2026-02-14__STRUCTURED_ARCHIVE.zip,,,,ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,55348,c00422be67b6c4774106f9f23e1426e5baf6f8466c40ec6194ba5597a3bddc5d,,NO,,UNVERIFIED (archived file not locatable),,0
106,older_version,ORION_CORE__WorkshopAndForgeModule__v1.2.2__2026-02-14__STRUCTURED_ARCHIVE (1).zip,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_CORE__WorkshopAndForgeModule__v1.2.2__2026-02-14__STRUCTURED_ARCHIVE (1).zip,52820,59a984ce510a47875d6e1102beb8baa09dc81ebc442dc2b342d761df9ebe197c,ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,55348,c00422be67b6c4774106f9f23e1426e5baf6f8466c40ec6194ba5597a3bddc5d,-2528,NO,ZIP_has_10_entries_ABSENT_from_canonical,DO_NOT_DELETE (content NOT preserved by claimed canonical),ZIP: 10 entries exist nowhere else,0
107,older_version,ORION_CORE__WorkshopAndForgeModule__v1.2.2__2026-02-14__STRUCTURED_ARCHIVE.zip,,,,ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION_CORE__WorkshopAndForgeModule__v1.2.3__2026-02-14__STRUCTURED_ARCHIVE.zip,55348,c00422be67b6c4774106f9f23e1426e5baf6f8466c40ec6194ba5597a3bddc5d,,NO,,UNVERIFIED (archived file not locatable),,0
108,older_version,ORION_L3_WORKSHOPGATES_0001__v1.0.0__2026-02-13.html,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_L3_WORKSHOPGATES_0001__v1.0.0__2026-02-13.html,8028,1d786b6393ef53f11edcc219bf21858bb4555c7f242d34bf1dafd7d20e31f16e,ORION_L3_WORKSHOPGATES_0001__v1.0.1__2026-02-13.md,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/ORION_L3_WORKSHOPGATES_0001__v1.0.1__2026-02-13.md,9135,ebbbd081965c6b069d5e3f4943e0c9850c09d7e207a5563eb42b201c7bb187fb,-1107,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
109,older_version,ORION_L3_WORKSHOPGATES_0001__v1.0.0__2026-02-13.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/Project_Files_GUMAS2_0/ORION_L3_WORKSHOPGATES_0001__v1.0.0__2026-02-13.md,6413,15bcec64d66cb0cc190fcedd1c3c6e7abf455805ec917a6d7e4b267196b3d99a,ORION_L3_WORKSHOPGATES_0001__v1.0.1__2026-02-13.md,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/ORION_L3_WORKSHOPGATES_0001__v1.0.1__2026-02-13.md,9135,ebbbd081965c6b069d5e3f4943e0c9850c09d7e207a5563eb42b201c7bb187fb,-2722,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
